record_id,employee_id,month,working_days,days_present,leave_days,wfh_days
1,1001,2026-01,22,22,0,1
2,1002,2026-01,22,21,1,5
3,1003,2026-01,22,21,1,8
4,1004,2026-01,22,21,1,1
5,1005,2026-01,22,20,2,0
6,1006,2026-01,22,22,0,4
7,1007,2026-01,22,22,0,1
8,1008,2026-01,22,21,1,8
9,1009,2026-01,22,22,0,1
10,1010,2026-01,22,22,0,8
11,1011,2026-01,22,21,1,3
12,1012,2026-01,22,21,1,7
13,1013,2026-01,22,21,1,7
14,1014,2026-01,22,21,1,3
15,1015,2026-01,22,21,1,4
16,1016,2026-01,22,19,3,3
17,1017,2026-01,22,20,2,2
18,1018,2026-01,22,22,0,6
19,1019,2026-01,22,22,0,1
20,1020,2026-01,22,21,1,6
21,1021,2026-01,22,22,0,4
22,1022,2026-01,22,21,1,2
23,1023,2026-01,22,19,3,5
24,1024,2026-01,22,22,0,2
25,1025,2026-01,22,19,3,3
26,1026,2026-01,22,21,1,1
27,1027,2026-01,22,22,0,7
28,1028,2026-01,22,22,0,3
29,1029,2026-01,22,22,0,6
30,1030,2026-01,22,17,5,6
31,1031,2026-01,22,22,0,3
32,1032,2026-01,22,22,0,1
33,1033,2026-01,22,21,1,0
34,1034,2026-01,22,22,0,7
35,1035,2026-01,22,22,0,0
36,1036,2026-01,22,22,0,8
37,1037,2026-01,22,21,1,8
38,1038,2026-01,22,19,3,1
39,1039,2026-01,22,17,5,3
40,1040,2026-01,22,17,5,1
41,1001,2026-02,20,20,0,4
42,1002,2026-02,20,20,0,2
43,1003,2026-02,20,20,0,2
44,1004,2026-02,20,18,2,4
45,1005,2026-02,20,20,0,8
46,1006,2026-02,20,17,3,7
47,1007,2026-02,20,19,1,1
48,1008,2026-02,20,20,0,2
49,1009,2026-02,20,20,0,1
50,1010,2026-02,20,20,0,0
51,1011,2026-02,20,19,1,4
52,1012,2026-02,20,20,0,3
53,1013,2026-02,20,20,0,1
54,1014,2026-02,20,20,0,5
55,1015,2026-02,20,15,5,6
56,1016,2026-02,20,17,3,4
57,1017,2026-02,20,19,1,0
58,1018,2026-02,20,19,1,3
59,1019,2026-02,20,17,3,2
60,1020,2026-02,20,20,0,2
61,1021,2026-02,20,20,0,4
62,1022,2026-02,20,19,1,8
63,1023,2026-02,20,19,1,4
64,1024,2026-02,20,20,0,2
65,1025,2026-02,20,20,0,0
66,1026,2026-02,20,15,5,0
67,1027,2026-02,20,20,0,8
68,1028,2026-02,20,19,1,3
69,1029,2026-02,20,19,1,3
70,1030,2026-02,20,17,3,1
71,1031,2026-02,20,19,1,6
