order_id,customer_id,product,quantity,unit_price,order_date
101,1,Wireless Mouse,2,799,2026-01-15
102,2,Mechanical Keyboard,1,3499,2026-01-18
103,3,USB-C Hub,3,1299,2026-01-22
104,1,Laptop Stand,1,1899,2026-02-05
105,4,Wireless Mouse,1,799,2026-02-10
106,5,Monitor 27in,1,14999,2026-02-14
107,2,USB-C Hub,2,1299,2026-02-20
108,6,Mechanical Keyboard,1,3499,2026-03-02
109,7,Wireless Mouse,4,799,2026-03-08
110,3,Monitor 27in,2,14999,2026-03-15
111,8,Laptop Stand,2,1899,2026-03-19
112,5,USB-C Hub,1,1299,2026-03-25
113,4,Mechanical Keyboard,1,3499,2026-04-01
114,6,Monitor 27in,1,14999,2026-04-06
115,7,USB-C Hub,2,1299,2026-04-12
